active_sessions,crc_errors_per_second,buffer_memory_utilization_percent,unplanned_restarts_last_24h,dropped_packets_due_to_buffer_full_last_hour,target
960,0.02068,8.8,0,10,0
3872,0.003995,47.6,0,11,0
3192,0.008862,85.7,0,27,0
566,0.018793,55.2,2,63,0
4526,0.039926,13.9,1,114,1
3544,0.000181,97.4,0,30,0
3271,0.000774,82.9,0,36,0
3019,0.007142,13.2,1,40,0
230,0.080559,97.8,0,77,1
1785,0.011816,45.1,0,33,0
869,0.000736,37.2,0,34,0
2491,0.002099,46.1,0,37,0
2533,0.014754,83.5,0,15,0
1284,0.018416,65.9,0,47,0
4655,0.037982,16.9,1,70,1
3485,0.01034,95.8,0,30,0
4217,0.000287,14.8,0,31,0
4943,0.029644,88.8,2,37,1
3004,0.015525,63.6,0,120,0
574,0.002998,18.8,1,27,0
1182,0.053248,23.0,0,88,1
2658,0.002419,87.0,0,46,0
2147,0.020613,53.9,0,95,1
2847,0.002246,65.5,0,19,0
1075,0.001968,50.4,1,64,0
1906,0.014488,78.4,1,46,1
289,0.005421,47.9,0,72,0
2834,0.007104,28.7,0,17,0
3105,0.006477,36.3,2,22,0
4758,0.003156,85.9,0,22,0
1999,0.000296,46.8,2,53,0
1367,0.009291,21.3,0,22,0
1628,0.049851,100.0,0,39,1
3302,0.003548,79.7,0,3,0
3656,0.02017,5.6,2,74,0
3990,0.038077,100.0,0,110,1
746,0.032373,76.5,0,56,1
2988,0.006832,16.0,0,15,0
2535,0.001403,23.7,0,91,0
700,0.032843,77.8,1,115,1
2463,0.002308,78.0,0,19,0
2161,0.00582,23.9,0,97,0
341,0.000672,25.7,1,29,0
2141,0.017447,30.7,1,30,0
2924,0.001346,59.8,0,17,0
2712,0.023341,17.2,0,27,0
1463,0.019968,10.4,1,30,0
1578,0.006247,67.9,0,12,0
2656,0.01364,77.9,2,6,0
875,0.009661,50.1,0,120,0
4114,0.016249,36.4,1,16,0
134,0.005653,43.2,0,33,0
3252,0.015409,38.8,0,40,0
2055,0.006207,96.0,0,64,0
1685,0.028296,76.8,1,41,0
4043,0.006663,20.8,2,7,0
3173,0.00621,38.4,0,40,0
1121,0.015375,54.4,0,35,0
3561,0.017236,61.3,0,19,0
2713,0.008085,46.8,0,13,0
3943,0.001982,81.0,0,50,0
1600,0.048357,86.3,0,91,1
4898,0.034443,50.5,0,52,0
261,0.013983,85.4,0,56,0
4397,0.054078,87.9,0,154,1
2081,0.000334,77.9,0,75,0
1095,0.006308,95.6,0,12,0
3442,0.010402,26.6,0,21,0
4651,0.040324,41.2,2,61,1
3898,0.000505,88.9,2,46,0
1375,0.019135,77.2,0,78,0
1116,0.031738,99.1,1,43,1
437,0.002198,6.3,0,48,0
978,0.003816,62.8,1,28,0
1176,0.003312,14.5,0,13,0
4987,0.007569,50.4,0,29,0
4093,0.000531,15.6,0,28,0
4959,0.001726,12.8,0,56,0
479,0.01675,1.2,1,57,0
592,0.001423,63.0,0,29,0
2162,0.002658,35.9,0,141,0
3984,0.00604,10.5,0,15,0
164,0.00728,32.3,1,20,0
2668,0.014423,16.9,0,29,0
2127,0.00593,94.2,0,38,0
2795,0.0156,32.0,0,43,0
1595,0.021162,44.6,0,66,1
491,0.0012,84.0,0,24,0
4614,0.0017,64.8,0,33,0
4574,0.005745,71.0,0,18,0
3661,0.041435,77.7,1,43,1
2378,0.013608,94.6,0,45,0
3199,0.053647,27.8,2,45,1
300,0.004912,98.9,2,69,0
4975,0.001872,83.1,0,24,0
3204,0.002573,58.9,0,11,0
4698,0.008568,66.2,0,21,0
2554,0.025853,72.1,0,25,1
3745,0.007235,5.8,0,43,0
904,0.001871,21.8,1,15,0
2831,0.010874,96.1,0,17,0
2873,0.019142,53.4,0,25,0
1670,0.002983,37.8,1,22,0
2790,0.006763,76.2,0,20,0
3940,0.037102,52.5,0,46,0
1128,0.004053,1.3,0,19,0
602,0.042936,83.5,1,162,1
4593,0.02664,83.2,0,146,1
970,0.009314,16.5,0,13,0
4588,0.000939,95.7,1,3,0
306,0.031999,22.4,1,14,0
1584,0.012576,45.8,0,16,0
963,0.015519,11.5,0,20,0
2890,0.012177,60.3,0,61,0
663,0.008909,37.5,2,24,0
4291,0.005977,35.3,2,19,0
1857,0.019546,82.7,2,37,0
1778,0.072723,13.1,1,107,1
3342,0.006912,79.8,0,24,0
4736,0.026814,57.1,0,36,0
1159,0.008755,98.6,0,45,0
1822,0.00773,58.9,0,21,0
3414,0.048129,18.0,1,94,1
3257,0.002348,5.1,0,11,0
2725,3.7e-05,88.3,0,24,0
2829,0.002764,84.1,0,20,0
